Title,Company,Location,Date,Apply Here
Aruba Welcome Center Agent (L0) _ Spanish,Hewlett Packard Enterprise,"La Petite Ariana, Ariana Governorate, Tunisia",2021-12-02,https://tn.linkedin.com/jobs/view/aruba-welcome-center-agent-l0-spanish-at-hewlett-packard-enterprise-2819104061?refId=eAuAcTCHMCoiXMmvca2D4Q%3D%3D&trackingId=ewUeJ7ArKG03oc3zodeUxA%3D%3D&position=22&pageNum=5&trk=public_jobs_jserp-result_search-card
Senior Account Manager,Panorama TUNIS,"Tunis, Tunisia",2021-11-24,https://tn.linkedin.com/jobs/view/senior-account-manager-at-panorama-tunis-2806491345?refId=eAuAcTCHMCoiXMmvca2D4Q%3D%3D&trackingId=8qCbquTNWUTNNbifGL7Y7g%3D%3D&position=23&pageNum=5&trk=public_jobs_jserp-result_search-card
Country Manager- Tunisia,Heetch,"Tunis, Tunis, Tunisia",2021-10-28,https://tn.linkedin.com/jobs/view/country-manager-tunisia-at-heetch-2796551471?refId=eAuAcTCHMCoiXMmvca2D4Q%3D%3D&trackingId=xgU1VLa%2FbSyKDjfFMqYhEg%3D%3D&position=24&pageNum=5&trk=public_jobs_jserp-result_search-card
Aruba Welcome Center Agent (L0) _ Spanish,Hewlett Packard Enterprise,"La Petite Ariana, Ariana Governorate, Tunisia",2021-12-02,https://tn.linkedin.com/jobs/view/aruba-welcome-center-agent-l0-spanish-at-hewlett-packard-enterprise-2819125044?refId=eAuAcTCHMCoiXMmvca2D4Q%3D%3D&trackingId=s9huAB6%2BYyY8%2FNOo5kkxpw%3D%3D&position=25&pageNum=5&trk=public_jobs_jserp-result_search-card
Responsable Commercial Centrales Solaires H/F - Afrique du Nord,Talentup,"Bab el Bahr, Tunis, Tunisia",2021-10-29,https://tn.linkedin.com/jobs/view/responsable-commercial-centrales-solaires-h-f-afrique-du-nord-at-talentup-2809833199?refId=bxrNIk3wdkUZhgU0XsXRHA%3D%3D&trackingId=%2FUtv58T9IQjAwPdjjqUiyw%3D%3D&position=1&pageNum=6&trk=public_jobs_jserp-result_search-card
Agent de transit,OCCIDENTAL SERVICE,"Tunis, Tunis, Tunisia",2021-11-15,https://tn.linkedin.com/jobs/view/agent-de-transit-at-occidental-service-2799708839?refId=bxrNIk3wdkUZhgU0XsXRHA%3D%3D&trackingId=b96HmH3jIsPJ2HEXfgGY%2Bw%3D%3D&position=2&pageNum=6&trk=public_jobs_jserp-result_search-card
Aruba Welcome Center Agent (L0)_ Spanish,Hewlett Packard Enterprise,"La Petite Ariana, Ariana Governorate, Tunisia",2021-12-02,https://tn.linkedin.com/jobs/view/aruba-welcome-center-agent-l0-spanish-at-hewlett-packard-enterprise-2819120760?refId=bxrNIk3wdkUZhgU0XsXRHA%3D%3D&trackingId=O4DQ%2BSbh6DZqjU6aSpEU5Q%3D%3D&position=3&pageNum=6&trk=public_jobs_jserp-result_search-card
Chef de Projet Digital (H/F),Deloitte,"Bab el Bahr, Tunis, Tunisia",2021-11-24,https://tn.linkedin.com/jobs/view/chef-de-projet-digital-h-f-at-deloitte-2807532734?refId=bxrNIk3wdkUZhgU0XsXRHA%3D%3D&trackingId=2kkOIH9DXAA2y2wJx6te3Q%3D%3D&position=4&pageNum=6&trk=public_jobs_jserp-result_search-card
Digital Marketing Director,TuniBoat - Location de bateaux,"Ariana Governorate, Tunisia",2021-12-03,https://tn.linkedin.com/jobs/view/digital-marketing-director-at-tuniboat-location-de-bateaux-2819648782?refId=bxrNIk3wdkUZhgU0XsXRHA%3D%3D&trackingId=EA85kMoFFrZ7fggedAQ25g%3D%3D&position=5&pageNum=6&trk=public_jobs_jserp-result_search-card
Business Develop Manager,Business & Services Solutions,"al-Karam al-Sharqiyyah, Tunis, Tunisia",2021-11-30,https://tn.linkedin.com/jobs/view/business-develop-manager-at-business-services-solutions-2816314844?refId=bxrNIk3wdkUZhgU0XsXRHA%3D%3D&trackingId=6KSpUG1nMBoCPNT0qY7nfQ%3D%3D&position=6&pageNum=6&trk=public_jobs_jserp-result_search-card
Software Delivery Manager,Alight MEA,"Tunis, Tunis, Tunisia",2021-11-25,https://tn.linkedin.com/jobs/view/software-delivery-manager-at-alight-mea-2807765769?refId=bxrNIk3wdkUZhgU0XsXRHA%3D%3D&trackingId=eLpDzdSA%2FJABbYvlSxH7mw%3D%3D&position=7&pageNum=6&trk=public_jobs_jserp-result_search-card
Assistant comptable,CFI D'expertise & Conseil,"Ariana Governorate, Tunisia",2021-11-23,https://tn.linkedin.com/jobs/view/assistant-comptable-at-cfi-d-expertise-conseil-2804626480?refId=bxrNIk3wdkUZhgU0XsXRHA%3D%3D&trackingId=sR7v2A47SUnHyZ1YMDzd5Q%3D%3D&position=8&pageNum=6&trk=public_jobs_jserp-result_search-card
Directeur Central des Systèmes d'Information H/F - Télécommunications,Talentup,"Bab el Bahr, Tunis, Tunisia",2021-10-28,https://tn.linkedin.com/jobs/view/directeur-central-des-syst%C3%A8mes-d-information-h-f-t%C3%A9l%C3%A9communications-at-talentup-2809122614?refId=bxrNIk3wdkUZhgU0XsXRHA%3D%3D&trackingId=ROsHyvanhWbUoxMhOLC8Ew%3D%3D&position=9&pageNum=6&trk=public_jobs_jserp-result_search-card
Responsable Trésorerie,The Adecco Group,"Tunis, Tunisia",2021-11-25,https://tn.linkedin.com/jobs/view/responsable-tr%C3%A9sorerie-at-the-adecco-group-2808169065?refId=bxrNIk3wdkUZhgU0XsXRHA%3D%3D&trackingId=h%2FuOgdGVdGvOmmkljbd%2F3g%3D%3D&position=10&pageNum=6&trk=public_jobs_jserp-result_search-card
Junior Talent Acquisition,OUIcoding,"Tunis, Tunisia",2021-11-25,https://tn.linkedin.com/jobs/view/junior-talent-acquisition-at-ouicoding-2808109120?refId=bxrNIk3wdkUZhgU0XsXRHA%3D%3D&trackingId=Q7Cj2VJHX8IdaVnAgQ08DA%3D%3D&position=11&pageNum=6&trk=public_jobs_jserp-result_search-card
Responsable ressources humaines,ELEC RECYCLAGE TUNISIE,"Oteek, Bizerte Governorate, Tunisia",2021-11-16,https://tn.linkedin.com/jobs/view/responsable-ressources-humaines-at-elec-recyclage-tunisie-2801044589?refId=bxrNIk3wdkUZhgU0XsXRHA%3D%3D&trackingId=pRC7qAAATbhVAf6IqQhJBQ%3D%3D&position=12&pageNum=6&trk=public_jobs_jserp-result_search-card
Magasinier,Edifis Group,"El Aouina, Tunis, Tunisia",2021-11-29,https://tn.linkedin.com/jobs/view/magasinier-at-edifis-group-2818504710?refId=bxrNIk3wdkUZhgU0XsXRHA%3D%3D&trackingId=hTut%2BaeECTYWN0ae8wkBUg%3D%3D&position=13&pageNum=6&trk=public_jobs_jserp-result_search-card
Social media manager,FATALES,"Tunis, Tunis, Tunisia",2021-11-22,https://tn.linkedin.com/jobs/view/social-media-manager-at-fatales-2808989182?refId=bxrNIk3wdkUZhgU0XsXRHA%3D%3D&trackingId=u6O4Mk6pYEgv8HYsnFGe7g%3D%3D&position=14&pageNum=6&trk=public_jobs_jserp-result_search-card
Consultant fonctionnel,SmartUP,"Hay al-Khadra', Tunis, Tunisia",2021-12-05,https://tn.linkedin.com/jobs/view/consultant-fonctionnel-at-smartup-2827769649?refId=bxrNIk3wdkUZhgU0XsXRHA%3D%3D&trackingId=rDg4yDiRGsxTfKttdJaxIA%3D%3D&position=15&pageNum=6&trk=public_jobs_jserp-result_search-card
IT System Support Specialist,CXG,"Tunis, Tunisia",2021-11-18,https://tn.linkedin.com/jobs/view/it-system-support-specialist-at-cxg-2804356719?refId=bxrNIk3wdkUZhgU0XsXRHA%3D%3D&trackingId=%2BLkimrRMpbM9ALHpAzYj6w%3D%3D&position=16&pageNum=6&trk=public_jobs_jserp-result_search-card
Technical Support Engineer (Fluent English Speaking),Hewlett Packard Enterprise,"Ariana Governorate, Tunisia",2021-11-26,https://tn.linkedin.com/jobs/view/technical-support-engineer-fluent-english-speaking-at-hewlett-packard-enterprise-2795108696?refId=bxrNIk3wdkUZhgU0XsXRHA%3D%3D&trackingId=GEF32Ityl5qcg3t2Km1fkw%3D%3D&position=17&pageNum=6&trk=public_jobs_jserp-result_search-card
Assistante Commerciale,TEL&TEL,"Tunis, Tunisia",2021-11-24,https://tn.linkedin.com/jobs/view/assistante-commerciale-at-tel-tel-1561860119?refId=bxrNIk3wdkUZhgU0XsXRHA%3D%3D&trackingId=bsrPEUG2KvQE77latavpGA%3D%3D&position=18&pageNum=6&trk=public_jobs_jserp-result_search-card
Chargé d’affaires (H/F),BUSINESS MANAGEMENT TN,"Tunis, Tunis, Tunisia",2021-12-02,https://tn.linkedin.com/jobs/view/charg%C3%A9-d%E2%80%99affaires-h-f-at-business-management-tn-2818463660?refId=bxrNIk3wdkUZhgU0XsXRHA%3D%3D&trackingId=JeV6cpvvsyp7eF7Q3NNZvQ%3D%3D&position=19&pageNum=6&trk=public_jobs_jserp-result_search-card
Startup Analyst (F/H),Startup Tunisia,"Tunis, Tunisia",2021-12-02,https://tn.linkedin.com/jobs/view/startup-analyst-f-h-at-startup-tunisia-2824038778?refId=bxrNIk3wdkUZhgU0XsXRHA%3D%3D&trackingId=3V6IH8EX1WZwjN8rvYgE4A%3D%3D&position=20&pageNum=6&trk=public_jobs_jserp-result_search-card
Inside Sales Consultant,OoLab Tunisia,"Tunis, Tunis, Tunisia",2021-12-03,https://tn.linkedin.com/jobs/view/inside-sales-consultant-at-oolab-tunisia-2820369165?refId=bxrNIk3wdkUZhgU0XsXRHA%3D%3D&trackingId=8HzggvGIFUMUyvjKLM%2BhNQ%3D%3D&position=21&pageNum=6&trk=public_jobs_jserp-result_search-card
Operations Manager,Glovo,"Tunis, Tunisia",2021-11-23,https://tn.linkedin.com/jobs/view/operations-manager-at-glovo-2722652279?refId=bxrNIk3wdkUZhgU0XsXRHA%3D%3D&trackingId=9LWZ94piDyVX%2FEhkUelEeg%3D%3D&position=22&pageNum=6&trk=public_jobs_jserp-result_search-card
Chief of Staff,Think-it,"Tunis, Tunisia",2021-10-28,https://tn.linkedin.com/jobs/view/chief-of-staff-at-think-it-2809685166?refId=bxrNIk3wdkUZhgU0XsXRHA%3D%3D&trackingId=s2MaxAXR49IrMUez%2BDTyrw%3D%3D&position=23&pageNum=6&trk=public_jobs_jserp-result_search-card
Aruba Welcome Center Agent (L0) _ Spanish,Hewlett Packard Enterprise,"La Petite Ariana, Ariana Governorate, Tunisia",2021-11-26,https://tn.linkedin.com/jobs/view/aruba-welcome-center-agent-l0-spanish-at-hewlett-packard-enterprise-2822731254?refId=bxrNIk3wdkUZhgU0XsXRHA%3D%3D&trackingId=tEqbE1vTSTJos26GIbrAoQ%3D%3D&position=24&pageNum=6&trk=public_jobs_jserp-result_search-card
Rédacteur Web,CTM TUNISIA,"Tunis, Tunisia",2021-12-03,https://tn.linkedin.com/jobs/view/r%C3%A9dacteur-web-at-ctm-tunisia-2817891939?refId=bxrNIk3wdkUZhgU0XsXRHA%3D%3D&trackingId=21Ra5fq0NC6Cnp5yYbr63A%3D%3D&position=25&pageNum=6&trk=public_jobs_jserp-result_search-card
Sales Development Manager,Timsoft Group,"Tunis, Tunis, Tunisia",2021-11-26,https://tn.linkedin.com/jobs/view/sales-development-manager-at-timsoft-group-2809488155?refId=326njJnN3NETnmnh%2F1aQOQ%3D%3D&trackingId=UxHOwM8MeR3NkEZCVgTvYA%3D%3D&position=1&pageNum=7&trk=public_jobs_jserp-result_search-card
Office Manager Sénior,iObeya,"Tunis, Tunis, Tunisia",2021-11-05,https://tn.linkedin.com/jobs/view/office-manager-s%C3%A9nior-at-iobeya-2820040043?refId=326njJnN3NETnmnh%2F1aQOQ%3D%3D&trackingId=mwj%2FaqhB77xLmPVdTvYEwA%3D%3D&position=2&pageNum=7&trk=public_jobs_jserp-result_search-card
Responsable IT (Adjoint IT) - Tunisie,Cooptalis,"Tunis, Tunisia",2021-12-01,https://tn.linkedin.com/jobs/view/responsable-it-adjoint-it-tunisie-at-cooptalis-2814763395?refId=326njJnN3NETnmnh%2F1aQOQ%3D%3D&trackingId=zN9JXJ1MTp81PAWMSc9Cww%3D%3D&position=3&pageNum=7&trk=public_jobs_jserp-result_search-card
Plant Manager Nadhour,Autoliv,"Tunis, Tunis, Tunisia",2021-10-28,https://tn.linkedin.com/jobs/view/plant-manager-nadhour-at-autoliv-2809572671?refId=326njJnN3NETnmnh%2F1aQOQ%3D%3D&trackingId=CVC0%2F%2FoScxTLA%2BemJS6QaA%3D%3D&position=4&pageNum=7&trk=public_jobs_jserp-result_search-card
Chef de Bureau commercial,Tunisie Leasing & Factoring,"Tunis, Tunisia",2021-11-26,https://tn.linkedin.com/jobs/view/chef-de-bureau-commercial-at-tunisie-leasing-factoring-2809975988?refId=326njJnN3NETnmnh%2F1aQOQ%3D%3D&trackingId=IlmP98X%2Bo2JBfBCeVGZAOA%3D%3D&position=5&pageNum=7&trk=public_jobs_jserp-result_search-card
Acheteur Projet,Valeo,"Ben Arous Governorate, Tunisia",2021-12-05,https://tn.linkedin.com/jobs/view/acheteur-projet-at-valeo-2823131183?refId=326njJnN3NETnmnh%2F1aQOQ%3D%3D&trackingId=v0UzSB3uUw4VR%2BgHooCakQ%3D%3D&position=6&pageNum=7&trk=public_jobs_jserp-result_search-card
Manager Complexe de Loisirs,PARTNER RECRUITMENT,"Tunis, Tunisia",2021-11-30,https://tn.linkedin.com/jobs/view/manager-complexe-de-loisirs-at-partner-recruitment-2815854356?refId=326njJnN3NETnmnh%2F1aQOQ%3D%3D&trackingId=gq%2BJaece2w7fbZbfzjyNCw%3D%3D&position=7&pageNum=7&trk=public_jobs_jserp-result_search-card
HR Operations Coordinator,Vista,"Tunis, Tunis, Tunisia",2021-11-25,https://tn.linkedin.com/jobs/view/hr-operations-coordinator-at-vista-2784717328?refId=326njJnN3NETnmnh%2F1aQOQ%3D%3D&trackingId=gnleoJVUoxjriXdDMm1f5A%3D%3D&position=8&pageNum=7&trk=public_jobs_jserp-result_search-card
Help Desk Support Technician,Secure Connect Communicate,"Tunis, Tunisia",2021-11-24,https://tn.linkedin.com/jobs/view/help-desk-support-technician-at-secure-connect-communicate-2811669049?refId=326njJnN3NETnmnh%2F1aQOQ%3D%3D&trackingId=aDgjMrBDYua73Jc27twg8g%3D%3D&position=9&pageNum=7&trk=public_jobs_jserp-result_search-card
Senior Account Manager,Glovo,"Tunis, Tunisia",2021-11-24,https://tn.linkedin.com/jobs/view/senior-account-manager-at-glovo-2806894367?refId=326njJnN3NETnmnh%2F1aQOQ%3D%3D&trackingId=WDpyGrWmy01oJp07UbMxMg%3D%3D&position=10&pageNum=7&trk=public_jobs_jserp-result_search-card
Consultant senior,SRA Integration,Grand Tunis Metropolitan Area,2021-11-29,https://tn.linkedin.com/jobs/view/consultant-senior-at-sra-integration-2814882690?refId=326njJnN3NETnmnh%2F1aQOQ%3D%3D&trackingId=l1KsduX6c%2FTbSuvhWjmoqA%3D%3D&position=11&pageNum=7&trk=public_jobs_jserp-result_search-card
Veilleur de nuit,GOLF ROYAL HOTEL,"Tunis, Tunisia",2021-12-04,https://tn.linkedin.com/jobs/view/veilleur-de-nuit-at-golf-royal-hotel-2826829690?refId=326njJnN3NETnmnh%2F1aQOQ%3D%3D&trackingId=ARtxz%2FNiIVm739TRltJDqQ%3D%3D&position=12&pageNum=7&trk=public_jobs_jserp-result_search-card
Remote Support Team Manager,Hewlett Packard Enterprise,"La Petite Ariana, Ariana Governorate, Tunisia",2021-10-21,https://tn.linkedin.com/jobs/view/remote-support-team-manager-at-hewlett-packard-enterprise-2795425824?refId=326njJnN3NETnmnh%2F1aQOQ%3D%3D&trackingId=9w3rGZF%2FRMVPFMKfloEBMA%3D%3D&position=13&pageNum=7&trk=public_jobs_jserp-result_search-card
Senior Business Analyst,Vneuron,Grand Tunis Metropolitan Area,2021-11-25,https://tn.linkedin.com/jobs/view/senior-business-analyst-at-vneuron-2807761804?refId=326njJnN3NETnmnh%2F1aQOQ%3D%3D&trackingId=jJ8L8kPay1jfnXEdaikFFQ%3D%3D&position=14&pageNum=7&trk=public_jobs_jserp-result_search-card
Sales Executive Academy Business,TUV Maghreb,"Tunis, Tunisia",2021-11-22,https://tn.linkedin.com/jobs/view/sales-executive-academy-business-at-tuv-maghreb-2804400584?refId=326njJnN3NETnmnh%2F1aQOQ%3D%3D&trackingId=ZqjZyctPNJBX2AioaRgYKQ%3D%3D&position=15&pageNum=7&trk=public_jobs_jserp-result_search-card
Ecommerce Specialist,Kadhya.com,"Bin Arous al-Sharqiyyah, Ben Arous Governorate, Tunisia",2021-11-23,https://tn.linkedin.com/jobs/view/ecommerce-specialist-at-kadhya-com-2803967881?refId=326njJnN3NETnmnh%2F1aQOQ%3D%3D&trackingId=zKasx2vX3mcGAK3wjMLV4w%3D%3D&position=16&pageNum=7&trk=public_jobs_jserp-result_search-card
Sales Consultant Junior,Wall Street English,"Tunis, Tunisia",2021-11-29,https://tn.linkedin.com/jobs/view/sales-consultant-junior-at-wall-street-english-2818279694?refId=326njJnN3NETnmnh%2F1aQOQ%3D%3D&trackingId=z%2BHC3%2FveWxccojgaueCcbA%3D%3D&position=17&pageNum=7&trk=public_jobs_jserp-result_search-card
Chargé(e) de Recrutement,Capgemini Engineering,"Tunis, Tunisia",2021-11-30,https://tn.linkedin.com/jobs/view/charg%C3%A9-e-de-recrutement-at-capgemini-engineering-2816385387?refId=326njJnN3NETnmnh%2F1aQOQ%3D%3D&trackingId=8eMCwcOLtz21EdRHLvGrLg%3D%3D&position=18&pageNum=7&trk=public_jobs_jserp-result_search-card
CSL - In-Country Client Account Manager,ADP,"Tunis, Tunisia",2021-11-16,https://tn.linkedin.com/jobs/view/csl-in-country-client-account-manager-at-adp-2797895493?refId=326njJnN3NETnmnh%2F1aQOQ%3D%3D&trackingId=5n%2FB96fd3X0RUptv2xvTPQ%3D%3D&position=19&pageNum=7&trk=public_jobs_jserp-result_search-card
HRBP,Valeo,"Ben Arous Governorate, Tunisia",2021-12-05,https://tn.linkedin.com/jobs/view/hrbp-at-valeo-2823132008?refId=326njJnN3NETnmnh%2F1aQOQ%3D%3D&trackingId=dlaE%2BqRrr5p67mC%2BaZul2A%3D%3D&position=20&pageNum=7&trk=public_jobs_jserp-result_search-card
Comptable clients/Account receivable,ADP,"Tunis, Tunisia",2021-10-26,https://tn.linkedin.com/jobs/view/comptable-clients-account-receivable-at-adp-2774632582?refId=326njJnN3NETnmnh%2F1aQOQ%3D%3D&trackingId=qOhstpuyJbaw%2BfGCdC1rTg%3D%3D&position=21&pageNum=7&trk=public_jobs_jserp-result_search-card
Senior Technical Account Manager,Orange Tunisie,"Tunis, Tunis, Tunisia",2021-11-30,https://tn.linkedin.com/jobs/view/senior-technical-account-manager-at-orange-tunisie-2819869531?refId=326njJnN3NETnmnh%2F1aQOQ%3D%3D&trackingId=Y0yYU1I3l%2F%2BeTGVXTCmgfA%3D%3D&position=22&pageNum=7&trk=public_jobs_jserp-result_search-card
Responsable visa,Book and go travel tunisia,"Tunis, Tunis, Tunisia",2021-11-24,https://tn.linkedin.com/jobs/view/responsable-visa-at-book-and-go-travel-tunisia-2805951526?refId=326njJnN3NETnmnh%2F1aQOQ%3D%3D&trackingId=ZGwsyCE1PKFJmwJheS%2BFHg%3D%3D&position=23&pageNum=7&trk=public_jobs_jserp-result_search-card
Agent de billetterie / Ticketing Agent,Satguru Travel Tunisia,"Tunis, Tunis, Tunisia",2021-11-23,https://tn.linkedin.com/jobs/view/agent-de-billetterie-ticketing-agent-at-satguru-travel-tunisia-2805189234?refId=326njJnN3NETnmnh%2F1aQOQ%3D%3D&trackingId=2BR%2BnvuIUBsEHcFM17ZYfw%3D%3D&position=24&pageNum=7&trk=public_jobs_jserp-result_search-card
Senior Financial Accountant,FIS,"Aryanah, Tunis, Tunisia",2021-12-06,https://tn.linkedin.com/jobs/view/senior-financial-accountant-at-fis-2795436514?refId=326njJnN3NETnmnh%2F1aQOQ%3D%3D&trackingId=9WPIOKpZaRH98kcbeu4HAQ%3D%3D&position=25&pageNum=7&trk=public_jobs_jserp-result_search-card
PM UNICEF - Tunisia/Libya,Cesvi Fondazione Onlus,"Tunis, Tunis, Tunisia",2021-11-24,https://tn.linkedin.com/jobs/view/pm-unicef-tunisia-libya-at-cesvi-fondazione-onlus-2812032448?refId=teWjAcWLuJpgzoZwPFVDTw%3D%3D&trackingId=FWhF7rltP7m%2Br%2BgCWeF7Ng%3D%3D&position=1&pageNum=8&trk=public_jobs_jserp-result_search-card
Digital marketer junior,MGI BFC,"Tunis, Tunisia",2021-11-20,https://tn.linkedin.com/jobs/view/digital-marketer-junior-at-mgi-bfc-2801357303?refId=teWjAcWLuJpgzoZwPFVDTw%3D%3D&trackingId=v%2B6AKuwIBmV1QxxdIBAk%2Bg%3D%3D&position=2&pageNum=8&trk=public_jobs_jserp-result_search-card
Territory Manager - RC,Vneuron,Grand Tunis Metropolitan Area,2021-11-26,https://tn.linkedin.com/jobs/view/territory-manager-rc-at-vneuron-2809983399?refId=teWjAcWLuJpgzoZwPFVDTw%3D%3D&trackingId=8hzuTgi05KT8uZVEpKQnHw%3D%3D&position=3&pageNum=8&trk=public_jobs_jserp-result_search-card
Technical Support Specialist,Transsion,"Ben Arous Governorate, Tunisia",2021-12-03,https://tn.linkedin.com/jobs/view/technical-support-specialist-at-transsion-2822222218?refId=teWjAcWLuJpgzoZwPFVDTw%3D%3D&trackingId=kgIMsQEDfFApKsBsnNCdjA%3D%3D&position=4&pageNum=8&trk=public_jobs_jserp-result_search-card
Manager Complexe de Loisirs,PARTNER RECRUITMENT,"Tunis, Tunisia",2021-11-30,https://tn.linkedin.com/jobs/view/manager-complexe-de-loisirs-at-partner-recruitment-2815845430?refId=teWjAcWLuJpgzoZwPFVDTw%3D%3D&trackingId=Dmyhp%2BAm1ptX0oBhGdYQkQ%3D%3D&position=5&pageNum=8&trk=public_jobs_jserp-result_search-card
operator,Baxter International Inc.,"Manouba Governorate, Tunisia",2021-11-19,https://tn.linkedin.com/jobs/view/operator-at-baxter-international-inc-2803451623?refId=teWjAcWLuJpgzoZwPFVDTw%3D%3D&trackingId=Nakpsil4fU2z%2FTHoMlNz2w%3D%3D&position=6&pageNum=8&trk=public_jobs_jserp-result_search-card
Community-Managerin,Université Ibn Khaldoun,"Aryanah, Tunis, Tunisia",2021-11-19,https://tn.linkedin.com/jobs/view/community-managerin-at-universit%C3%A9-ibn-khaldoun-2800942897?refId=teWjAcWLuJpgzoZwPFVDTw%3D%3D&trackingId=kgtZ2ZivKnDfI%2FDD7tC35A%3D%3D&position=7&pageNum=8&trk=public_jobs_jserp-result_search-card
Chargé export,ELEC RECYCLAGE TUNISIE,"Oteek, Bizerte Governorate, Tunisia",2021-11-10,https://tn.linkedin.com/jobs/view/charg%C3%A9-export-at-elec-recyclage-tunisie-2793111379?refId=teWjAcWLuJpgzoZwPFVDTw%3D%3D&trackingId=iHlTIoVEVksY7Iimd1DVbw%3D%3D&position=8&pageNum=8&trk=public_jobs_jserp-result_search-card
Vendeur,LE GOURMET PATISSERIE,"Tunis, Tunisia",2021-12-02,https://tn.linkedin.com/jobs/view/vendeur-at-le-gourmet-patisserie-2823909541?refId=teWjAcWLuJpgzoZwPFVDTw%3D%3D&trackingId=FbOkrmaIq5MvPvG0Qbmr5g%3D%3D&position=9&pageNum=8&trk=public_jobs_jserp-result_search-card
"Commercial Lead, West & Central Africa",Sanofi,"Mégrine, Ben Arous Governorate, Tunisia",2021-12-01,https://tn.linkedin.com/jobs/view/commercial-lead-west-central-africa-at-sanofi-2821716136?refId=teWjAcWLuJpgzoZwPFVDTw%3D%3D&trackingId=6ZIlMzq2KiOgBwOIfIMFSg%3D%3D&position=10&pageNum=8&trk=public_jobs_jserp-result_search-card
JUNIOR QUANTITATIVE ANALYST,Cobblestone Energy,"Tunis, Tunis, Tunisia",2021-11-08,https://tn.linkedin.com/jobs/view/junior-quantitative-analyst-at-cobblestone-energy-2825888675?refId=teWjAcWLuJpgzoZwPFVDTw%3D%3D&trackingId=9t%2FgvO2vyWOW%2BXOdamjuMg%3D%3D&position=11&pageNum=8&trk=public_jobs_jserp-result_search-card
Analyste,Indépendant,"Al Marsá, Tunis, Tunisia",2021-12-01,https://tn.linkedin.com/jobs/view/analyste-at-ind%C3%A9pendant-2822638630?refId=teWjAcWLuJpgzoZwPFVDTw%3D%3D&trackingId=m4id8ZxX6bEuUeNQRa0W2g%3D%3D&position=12&pageNum=8&trk=public_jobs_jserp-result_search-card
Channel Digital Leader,GE Healthcare,"Tunis, Tunis, Tunisia",2021-12-01,https://tn.linkedin.com/jobs/view/channel-digital-leader-at-ge-healthcare-2766140246?refId=teWjAcWLuJpgzoZwPFVDTw%3D%3D&trackingId=WR3nXXsH7BvJLxtRbhD6LA%3D%3D&position=13&pageNum=8&trk=public_jobs_jserp-result_search-card
Senior Retail Consultant,Timsoft Group,"Tunis, Tunis, Tunisia",2021-12-03,https://tn.linkedin.com/jobs/view/senior-retail-consultant-at-timsoft-group-2820319895?refId=teWjAcWLuJpgzoZwPFVDTw%3D%3D&trackingId=PUn2EbsmP7Wb7RCT5%2FNBDQ%3D%3D&position=14&pageNum=8&trk=public_jobs_jserp-result_search-card
Comptable clients/Account receivable,ADP,"Tunis, Tunisia",2021-10-26,https://tn.linkedin.com/jobs/view/comptable-clients-account-receivable-at-adp-2774634497?refId=teWjAcWLuJpgzoZwPFVDTw%3D%3D&trackingId=pxhU%2BZ1cbPW%2Bs46lL9sgXQ%3D%3D&position=15&pageNum=8&trk=public_jobs_jserp-result_search-card
Care Program Manager,Nokia,"Tunis, Tunis, Tunisia",2021-10-23,https://tn.linkedin.com/jobs/view/care-program-manager-at-nokia-2802653252?refId=teWjAcWLuJpgzoZwPFVDTw%3D%3D&trackingId=0vj5mph1EY1DWWpm60Ot8g%3D%3D&position=16&pageNum=8&trk=public_jobs_jserp-result_search-card
Technico-Commercial,Uteek - Digital Agency,"Tunis, Tunisia",2021-11-30,https://tn.linkedin.com/jobs/view/technico-commercial-at-uteek-digital-agency-2820699638?refId=teWjAcWLuJpgzoZwPFVDTw%3D%3D&trackingId=k0XgBu42y%2B5npUVzicijrg%3D%3D&position=17&pageNum=8&trk=public_jobs_jserp-result_search-card
Regional Account Manager,Fortinet,"Tunis, Tunisia",2021-11-10,https://tn.linkedin.com/jobs/view/regional-account-manager-at-fortinet-2787850899?refId=teWjAcWLuJpgzoZwPFVDTw%3D%3D&trackingId=f9QKyoD3I85T9p8DvP7i2w%3D%3D&position=18&pageNum=8&trk=public_jobs_jserp-result_search-card
Commercial Agent- TUNIS,LABORATOIRES ARRAZI,"Miqreen, Ben Arous Governorate, Tunisia",2021-12-06,https://tn.linkedin.com/jobs/view/commercial-agent-tunis-at-laboratoires-arrazi-2829163028?refId=teWjAcWLuJpgzoZwPFVDTw%3D%3D&trackingId=BpSsYqVt5Cfy%2B6c2GcONlQ%3D%3D&position=19&pageNum=8&trk=public_jobs_jserp-result_search-card
"Test Analyst, ISTQB Certified",Tessan Group,"Tunis, Tunisia",2021-12-06,https://tn.linkedin.com/jobs/view/test-analyst-istqb-certified-at-tessan-group-2823128600?refId=teWjAcWLuJpgzoZwPFVDTw%3D%3D&trackingId=%2BTlOstejShd6RVQnqWzXYw%3D%3D&position=20&pageNum=8&trk=public_jobs_jserp-result_search-card
Social media manager/ SEA,HR Partners,"Tunis, Tunis, Tunisia",2021-12-03,https://tn.linkedin.com/jobs/view/social-media-manager-sea-at-hr-partners-2825608280?refId=teWjAcWLuJpgzoZwPFVDTw%3D%3D&trackingId=LT%2BA%2B4EAsApR8zOITIM4pg%3D%3D&position=21&pageNum=8&trk=public_jobs_jserp-result_search-card
